projname,landmark,projcode,statecode,distcode,blkcode,projtype,isgeotagged,loc_geom,last_updated_by_x,last_updated_on_x,id_x,projstatus_x,oldprojcode,proj_seq,cb_type,ru_type,ot_type,recent_sts_id,Unnamed: 19,Unnamed: 20,id_y,photo1,loc_geom1,photo1_time,photo2,loc_geom2,photo2_time,projstatus_y,surveyor_cmnt,obs_date,obs_by,approved,approver_cmnt,approved_by,approved_on,last_updated_by_y,last_updated_on_y,longitude1,latitude1,longitude2,latitude2,accuracy1,accuracy2,surveyor_name,approver_name,ai_review,ai_reasoning,ai_status,time_check
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3038,../photos/CG3750072_1598337392_p1.jpeg,0101000020E6100000A60C1CD052895440EBB996DA9C1A3640,2020-08-25 12:05:35,../photos/CG3750072_1598337392_p2.jpeg,0101000020E6100000A60C1CD052895440EBB996DA9C1A3640,2020-08-25 12:05:56,100,Electrical work D-1,2020-08-25 12:06:13,scgbilasp,True,okay,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:27:04.57602,82.1456795,22.1039559,82.1456795,22.1039559,20.9,20.9,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3044,../photos/CG3750072_1598339403_p1.jpeg,0101000020E61000008AC33EA65A895440C54263DCC31A3640,2020-08-25 12:36:56,../photos/CG3750072_1598339403_p2.jpeg,0101000020E61000006649809A5A8954408C643497C01A3640,2020-08-25 12:37:09,100,Electrical work of Garden at  judge colony,2020-08-25 12:37:13,scgbilasp,True,okay,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:27:18.532558,82.1461578,22.1045511,82.146155,22.1045012,20.21,22.85,,P N Sai,,NaN,,NaN
PROV ELECTRIFICATION WORK IN GOVT RESIDENTIAL QTRS (10 F 04 E AND 4 D TYPE) AT NUTAN COLONY BILASPUR,NEAR DISTRICT AYURVEDIK HOSPITAL BILASPUR,CG3750072,CG,375,BILHA,CMP,True,0101000020E61000006376BB0361895440D01E7931DE1A3640,scgbilasp,2020-08-25 12:40:03.979513,1729,100,,72,False,False,True,3044,,,3041,../photos/CG3750072_1598338743_p1.jpeg,0101000020E6100000D8ED58115A895440F8AA9509BF1A3640,2020-08-25 12:21:48,../photos/CG3750072_1598338743_p2.jpeg,0101000020E6100000BBF1EEC85889544045C659C7A71A3640,2020-08-25 12:25:36,100,Electrical work D-4,2020-08-25 12:26:09,scgbilasp,True,completed,cgbilasp,2020-09-17 00:00:00,cgbilasp,2020-09-17 11:27:35.408322,82.1461223,22.1044775,82.146044,22.1041226,28.83,23.41,,P N Sai,,NaN,,NaN
construction of 4 court room building mehgaon district bhind,,CHmpBHI815,MP,395,Mehgaon,CMP,True,0101000020E610000019D7AEBFDBA5534054A63DCA2D7C3A40,smpbhind,2020-06-02 17:00:24.162842,150,100,CHmpBHI815,1,True,False,False,1723,,,1723,../photos/CHmpBHI815_1589362270_p1.jpeg,0101000020E610000098EAB8D04BB25340C6973F9589913A40,2020-05-13 15:00:44,../photos/CHmpBHI815_1589362270_p2.jpeg,0101000020E610000098EAB8D04BB25340C6973F9589913A40,2020-05-13 15:01:01,100,Work complete handing over,2020-05-13 15:01:04,smpbhind,True,Work handedover,mpbhind,2020-05-14 00:00:00,mpbhind,2020-05-14 17:04:02.679711,78.7858774,26.5685056,78.7858774,26.5685056,10.0,10.0,,DPE Bhind,,NaN,,NaN
Cons of  Composite Court Building (G plus four) at Malda District,Malda District Court Compound,WB3160001,WB,316,,UC,True,0101000020E61000006741CD3571095640A2CFEC5FFEFF3840,swbmalda,2020-09-16 17:15:03.59655,2108,40,,1,True,False,False,3275,,,3275,../photos/WB3160001_1600256703_p1.jpeg,0101000020E61000006741CD3571095640A2CFEC5FFEFF3840,2020-09-16 17:08:11,../photos/WB3160001_1600256703_p2.jpeg,0101000020E6100000F6E7476870095640DDCDF863FFFF3840,2020-09-16 17:08:38,40,Front side view of Composite Court Building of Malda,2020-09-16 17:14:47,swbmalda,True,Structure of the building is complete,wbmalda,2020-09-16 00:00:00,wbmalda,2020-09-16 17:17:37.138927,88.1475348,24.9999752,88.1474858,24.9999907,14.58,8.58,,,,NaN,,NaN
Construction of District Court co Complex at Bandipora,,CHjkBan851,JK,623,,UC,True,0101000020E6100000FD5877E2A8A7524034C7A82160364140,sjkbandip,2021-04-06 13:30:41.360754,183,10,CHjkBan851,1,True,False,False,4015,,,3597,../photos/CHjkBan851_1606899027_p1.jpeg,0101000020E6100000FD5877E2A8A7524034C7A82160364140,2020-12-02 14:14:21,../photos/CHjkBan851_1606899027_p2.jpeg,0101000020E61000007823980FADA752408FC2F5285C364140,2020-12-02 14:15:12,10,Plinth work completed ground floor columns raised upto slab level compound walling completed upto 950rft,2020-12-02 14:18:18,sjkbandip,True,work completed so far as per the DPR and drawings,jkbandip,2020-12-03 00:00:00,jkbandip,2020-12-03 14:48:27.433627,74.6196829,34.4248087,74.6199378,34.4246875,4.0,3.5,,Gh Mohammad Sheikh,,NaN,,NaN
Construction of District Court co Complex at Bandipora,,CHjkBan851,JK,623,,UC,True,0101000020E6100000FD5877E2A8A7524034C7A82160364140,sjkbandip,2021-04-06 13:30:41.360754,183,10,CHjkBan851,1,True,False,False,4015,,,3693,../photos/CHjkBan851_1608274774_p1.jpeg,0101000020E6100000645B069CA5A752408CB2C8C04B364140,2020-12-18 12:23:33,../photos/CHjkBan851_1608274774_p2.jpeg,0101000020E61000007FBE2D58AAA752400B5174136B364140,2020-12-18 12:23:54,10,Plinth work completed columns raised upto slab level compound walling completed upto 950rft,2020-12-18 12:24:03,sjkbandip,True,The above mentioned work has been done as per approved drawings,jkbandip,2020-12-18 00:00:00,jkbandip,2020-12-18 12:32:19.886042,74.619483,34.4241868,74.619772,34.4251427,20.9,30.61,,,,NaN,,NaN
Construction of District Court co Complex at Bandipora,,CHjkBan851,JK,623,,UC,True,0101000020E6100000FD5877E2A8A7524034C7A82160364140,sjkbandip,2021-04-06 13:30:41.360754,183,10,CHjkBan851,1,True,False,False,4015,,,4015,../photos/CHjkBan851_1617696041_p1.jpeg,0101000020E6100000586E0E7CB1A752406D54A70359364140,2021-04-06 13:30:13,../photos/CHjkBan851_1617696041_p2.jpeg,0101000020E6100000586E0E7CB1A752406D54A70359364140,2021-04-06 13:30:33,10,Plinth completed columns raised upto ground floor slab compound wall completed upto 970rft,2021-04-06 13:30:37,sjkbandip,True,Works executed as per approved Dpr Revised Dpr submitted as per higher up orders,jkbandip,2021-04-07 00:00:00,jkbandip,2021-04-07 12:01:54.83674,74.6202078,34.4245915,74.6202078,34.4245915,4.0,4.0,,,,NaN,,NaN
Construction of D Type Quarters Judicial Officers Building at Alirajpur,NEAR NAGAR PALIKA,RUmpALI497,MP,639,Alirapur,CMP,True,0101000020E6100000A3488CD8C69652403FDE2F8FCA4C3640,smpaliraj,2024-01-06 11:07:06.929561,173,100,RUmpALI497,5,False,True,False,7227,,,4208,../photos/RUmpALI497_1621413939_p1.jpeg,0101000020E6100000FF379B33C7965240B1F3DB7CC84C3640,2021-05-19 14:15:06,../photos/RUmpALI497_1621413939_p2.jpeg,0101000020E610000029FC636BC7965240E9D08EC0C44C3640,2021-05-19 14:15:31,90,Work in progress,2021-05-19 14:15:36,smpaliraj,True,90 PERCENT COMPLETE,mpaliraj,2021-06-03 00:00:00,mpaliraj,2021-06-03 12:09:00.623759,74.3559083,22.2999342,74.3559216,22.2998772,12.5,10.4,,S R BAGHEL,,NaN,,NaN
Construction of D Type Quarters Judicial Officers Building at Alirajpur,NEAR NAGAR PALIKA,RUmpALI497,MP,639,Alirapur,CMP,True,0101000020E6100000A3488CD8C69652403FDE2F8FCA4C3640,smpaliraj,2024-01-06 11:07:06.929561,173,100,RUmpALI497,5,False,True,False,7227,,,7227,../photos/RUmpALI497_1704519426_p1.jpeg,0101000020E6100000FA073653C69652402250A2CAD54C3640,2024-01-06 11:06:46,../photos/RUmpALI497_1704519426_p2.jpeg,0101000020E6100000FA073653C69652402250A2CAD54C3640,2024-01-06 11:06:59,100,Work is complete,2024-01-06 11:07:03,smpaliraj,False,,,,smpaliraj,2024-01-06 11:07:06.929561,74.3558548,22.3001372,74.3558548,22.3001372,21.54,21.54,,,,NaN,,NaN
"Construction Of 2D, 3E, 2F, 1G Type Residence Quarters at Teh and Distt Datia MP",,RUmpDAT219,MP,401,,CMP,True,0101000020E6100000A9C7F0B7819E5340ADE07505F49E3940,smpdatia,2021-07-02 08:30:01.908374,193,100,RUmpDAT219,4,False,True,False,4594,,,4594,../photos/RUmpDAT219_1625194801_p1.jpeg,0101000020E61000000C8684398B9E534024B726DD969E3940,2021-07-02 08:28:42,../photos/RUmpDAT219_1625194801_p2.jpeg,0101000020E6100000F5EA2D2F8A9E5340B9A40F02979E3940,2021-07-02 08:29:55,100,Work Completed,2021-07-02 08:29:59,smpdatia,True,Work Completed and Handed Over,mpdatia,2021-09-17 00:00:00,mpdatia,2021-09-17 13:05:22.222818,78.4772476,25.6194895,78.4771841,25.6194917,4.76,3.54,,Work Completed and Handed Over,,NaN,,NaN
Construction of Additional District Court Complex at Handwara Kupwara,,CHjkKup849,JK,8,,UC,True,0101000020E6100000AC3AAB05F6915240C69CB17966334140,sjkkupwar,2021-04-05 11:16:37.000434,181,40,CHjkKup849,1,True,False,False,4012,,,3604,../photos/CHjkKup849_1607065824_p1.jpeg,0101000020E6100000AC3AAB05F6915240C69CB17966334140,2020-12-04 11:41:56,../photos/CHjkKup849_1607065824_p2.jpeg,0101000020E6100000B256A30DF691524025A5EA6866334140,2020-12-04 11:59:22,40,Truss work completed without cgi sheeting,2020-12-04 11:59:27,sjkkupwar,True,The work is as per approved dpr and drawings,jkkupwar,2020-12-07 00:00:00,jkkupwar,2020-12-07 12:09:31.238561,74.280641,34.4015648,74.2806429,34.4015628,23.43,23.48,,,,NaN,,NaN
Construction of Additional Court Halls at Sira (1st Floor half Portion),Court Premises,KA5480004,KA,548,Sira,CMP,True,0101000020E61000009637D1F84F3953408BD8CCC6EF7E2B40,kauser,2021-06-01 18:57:19.760649,1961,100,,4,True,False,False,4297,,,4297,../photos/KA5480004_1622553214_p1.jpeg,0101000020E6100000CBD4C9BE503953407ADBF1CB057F2B40,2021-06-01 18:41:55,../photos/KA5480004_1622553214_p2.jpeg,0101000020E6100000CBD4C9BE503953407ADBF1CB057F2B40,2021-06-01 18:42:17,100,Work completed,2021-06-01 18:43:22,skatumaku,True,Work Completed,katumaku,2021-06-01 00:00:00,katumaku,2021-06-01 18:59:02.802491,76.8955533,13.7480911,76.8955533,13.7480911,24.15,24.15,,Shivaswamy G S,,NaN,,NaN
construction of 12 no D type and 20 no F type QuartersMultistoried at Shyamla Hills Distt Bhopal,,RUmpBHO855,MP,396,,CMP,True,0101000020E6100000F447DE5AE2585340101E8E2A9A3C3740,smpbhopal,2023-12-18 12:28:18.665037,186,100,RUmpBHO855,3,False,True,False,7017,,,5802,../photos/RUmpBHO855_1670657571_p1.jpeg,0101000020E6100000A42E6354E3585340040B163DA63C3740,2022-12-10 13:00:50,../photos/RUmpBHO855_1670657571_p2.jpeg,0101000020E61000001FA397ACE558534078CCE5AB893C3740,2022-12-10 13:02:29,100,20 no F type Quarter and 12 no D type quarter complete except 10 passenger lift instalation,2022-12-10 13:02:48,smpbhopal,True,Approved,mpbhopal,2023-12-14 00:00:00,mpbhopal,2023-12-14 19:59:46.517591,77.3888751,23.2369116,77.3890182,23.2364757,27.04,10.48,,G.S BHURIYA,,NaN,,NaN
construction of 12 no D type and 20 no F type QuartersMultistoried at Shyamla Hills Distt Bhopal,,RUmpBHO855,MP,396,,CMP,True,0101000020E6100000F447DE5AE2585340101E8E2A9A3C3740,smpbhopal,2023-12-18 12:28:18.665037,186,100,RUmpBHO855,3,False,True,False,7017,,,4636,../photos/RUmpBHO855_1625742938_p1.jpeg,0101000020E6100000A26AAADDE558534089038D3E8B3C3740,2021-07-08 16:45:23,../photos/RUmpBHO855_1625742938_p2.jpeg,0101000020E6100000A26AAADDE558534089038D3E8B3C3740,2021-07-08 16:46:20,70,20 F type quarter outer plaster in progress and D type quarter outer plaster is to be started,2021-07-08 16:46:32,smpbhopal,True,yes,mpbhopal,2023-12-15 00:00:00,mpbhopal,2023-12-15 11:04:52.696437,77.3890299,23.2364997,77.3890299,23.2364997,6.99,6.99,,S L Suryavanshi,,NaN,,NaN
construction of 12 no D type and 20 no F type QuartersMultistoried at Shyamla Hills Distt Bhopal,,RUmpBHO855,MP,396,,CMP,True,0101000020E6100000F447DE5AE2585340101E8E2A9A3C3740,smpbhopal,2023-12-18 12:28:18.665037,186,100,RUmpBHO855,3,False,True,False,7017,,,5050,../photos/RUmpBHO855_1639217408_p1.jpeg,0101000020E6100000FA580BFDDD58534067DDF588873C3740,2021-12-11 15:38:18,../photos/RUmpBHO855_1639217408_p2.jpeg,0101000020E610000076D6B848EB5853404CCE3FB0993C3740,2021-12-11 15:40:58,70,External Rotowall texture work of F type Quarter and External plastering work in D type Quarter in progress,2021-12-11 15:41:13,smpbhopal,True,yes,mpbhopal,2023-12-15 00:00:00,mpbhopal,2023-12-15 11:05:18.377218,77.3885491,23.2364431,77.3893606,23.2367201,9.0,12.48,,S L Suryavanshi,,NaN,,NaN
construction of 12 no D type and 20 no F type QuartersMultistoried at Shyamla Hills Distt Bhopal,,RUmpBHO855,MP,396,,CMP,True,0101000020E6100000F447DE5AE2585340101E8E2A9A3C3740,smpbhopal,2023-12-18 12:28:18.665037,186,100,RUmpBHO855,3,False,True,False,7017,,,5206,../photos/RUmpBHO855_1653547982_p1.jpeg,0101000020E6100000358EA218EA58534022776C5F9B3C3740,2022-05-26 12:20:06,../photos/RUmpBHO855_1653547982_p2.jpeg,0101000020E610000094C151F2EA585340BCC568C29B3C3740,2022-05-26 12:20:33,70,Road work drain and drainage work external water supply and painting etc in pragress,2022-05-26 12:23:00,smpbhopal,True,yes,mpbhopal,2023-12-15 00:00:00,mpbhopal,2023-12-15 11:05:30.621958,77.3892881,23.2367458,77.38934,23.2367517,9.84,3.9,,S L Suryavanshi,,NaN,,NaN
construction of 12 no D type and 20 no F type QuartersMultistoried at Shyamla Hills Distt Bhopal,,RUmpBHO855,MP,396,,CMP,True,0101000020E6100000F447DE5AE2585340101E8E2A9A3C3740,smpbhopal,2023-12-18 12:28:18.665037,186,100,RUmpBHO855,3,False,True,False,7017,,,5480,../photos/RUmpBHO855_1658820156_p1.jpeg,0101000020E61000008C4B55DAE25853409263A18CA73C3740,2022-07-26 12:50:15,../photos/RUmpBHO855_1658820156_p2.jpeg,0101000020E61000001B796A3FE3585340AA094735913C3740,2022-07-26 12:54:57,90,"F- 1and F-2 block F type multy story 20 no 98 Percent complete 
12 No D type multy story 95 Percent complete 
Excluding Lift instalation",2022-07-26 12:56:49,smpbhopal,True,yes,mpbhopal,2023-12-15 00:00:00,mpbhopal,2023-12-15 11:05:41.392767,77.388846,23.2369316,77.3888701,23.2365907,8.83,8.16,,S L Suryavanshi,,NaN,,NaN
construction of 12 no D type and 20 no F type QuartersMultistoried at Shyamla Hills Distt Bhopal,,RUmpBHO855,MP,396,,CMP,True,0101000020E6100000F447DE5AE2585340101E8E2A9A3C3740,smpbhopal,2023-12-18 12:28:18.665037,186,100,RUmpBHO855,3,False,True,False,7017,,,7017,../photos/RUmpBHO855_1702882698_p1.jpeg,0101000020E6100000F9E81E23EA5853402DF1DB6B9C3C3740,2023-12-18 12:27:31,../photos/RUmpBHO855_1702882698_p2.jpeg,0101000020E6100000F9E81E23EA5853402DF1DB6B9C3C3740,2023-12-18 12:28:10,100,12D and 20 F multy storied building complete,2023-12-18 12:28:14,smpbhopal,True,Approved,mpbhopal,2024-01-23 00:00:00,mpbhopal,2024-01-23 13:09:38.326822,77.3892906,23.2367618,77.3892906,23.2367618,4.38,4.38,,G.s bhuriya,,NaN,,NaN
"Construction of new Civil Court Building at Jeshar, Dist. Bhavnagar",Jesar Asrana road,GJ4430005,GJ,443,Jesar,CMP,True,0101000020E610000087B88322A7EA51401EC022BF7E5C3540,sgjbhavna,2022-07-26 14:47:56.393427,1925,100,,5,True,False,False,5486,,,5486,../photos/GJ4430005_1658827076_p1.jpeg,0101000020E610000087B88322A7EA51401EC022BF7E5C3540,2022-07-26 14:46:48,../photos/GJ4430005_1658827076_p2.jpeg,0101000020E61000008DEE2076A6EA514065389ECF805C3540,2022-07-26 14:46:58,100,New civil court building at jesar dist Bhavnagar,2022-07-26 14:47:54,sgjbhavna,False,,,,sgjbhavna,2022-07-26 14:47:56.393427,71.6664511,21.361309,71.66641,21.3613405,4.77,4.79,,,,NaN,,NaN
Construction of Judicial Officers Quarter at Mon Type-D 2 Unit-1 No,Judicial Officers Quarter,NL2470001,NL,247,,CMP,True,0101000020E610000093AEF435A6C157404A5755D405BB3A40,snlmon,2022-07-26 08:27:00.99998,2646,100,,1,False,True,False,5455,,,5455,../photos/NL2470001_1658804220_p1.jpeg,0101000020E610000093AEF435A6C157404A5755D405BB3A40,2022-07-26 08:21:04,../photos/NL2470001_1658804220_p2.jpeg,0101000020E61000006D5E8BCC92C15740B1755F84DFBA3A40,2022-07-26 08:23:22,100,Judicial Staff Quarter,2022-07-26 08:23:30,snlmon,False,,,,snlmon,2022-07-26 08:27:00.99998,95.0257697,26.7305577,95.0245849,26.7299731,19.47,100.0,,,,NaN,,NaN
CONSTRUCTION OF NEW CIVIL COURT AT BHILAI 3 DISTRICT DURG,COURT BUILDING BHILAI 3,CG3780016,CG,378,DURG,CMP,True,0101000020E61000006F8E290ED65B54404169030BBB353540,scgdurg,2023-10-12 16:10:55.062734,1690,100,,16,True,False,False,6304,,,3006,../photos/CG3780016_1598271854_p1.jpeg,0101000020E610000056E35B0EAA5B54406F3B7EB960363540,2020-08-24 17:53:04,../photos/CG3780016_1598271854_p2.jpeg,0101000020E610000056E35B0EAA5B54406F3B7EB960363540,2020-08-24 17:53:38,10,Part A lintel in progress,2020-08-24 17:54:12,scgdurg,True,Civil work under progress,cgdurg,2020-08-25 00:00:00,cgdurg,2020-08-25 13:23:36.763998,81.4322544,21.2124134,81.4322544,21.2124134,23.75,23.75,,,,NaN,,NaN
CONSTRUCTION OF NEW CIVIL COURT AT BHILAI 3 DISTRICT DURG,COURT BUILDING BHILAI 3,CG3780016,CG,378,DURG,CMP,True,0101000020E61000006F8E290ED65B54404169030BBB353540,scgdurg,2023-10-12 16:10:55.062734,1690,100,,16,True,False,False,6304,,,3036,../photos/CG3780016_1598337085_p1.jpeg,0101000020E6100000C6F7C5A5AA5B544060B422C55B363540,2020-08-25 11:59:56,../photos/CG3780016_1598337085_p2.jpeg,0101000020E6100000C6F7C5A5AA5B544060B422C55B363540,2020-08-25 12:00:19,10,Part A lintel in progress,2020-08-25 12:01:21,scgdurg,True,Civil work under progress,cgdurg,2020-08-25 00:00:00,cgdurg,2020-08-25 13:24:09.383157,81.4322905,21.2123378,81.4322905,21.2123378,29.63,29.63,,,,NaN,,NaN
CONSTRUCTION OF NEW CIVIL COURT AT BHILAI 3 DISTRICT DURG,COURT BUILDING BHILAI 3,CG3780016,CG,378,DURG,CMP,True,0101000020E61000006F8E290ED65B54404169030BBB353540,scgdurg,2023-10-12 16:10:55.062734,1690,100,,16,True,False,False,6304,,,6304,../photos/CG3780016_1697107255_p1.jpeg,0101000020E6100000BBFC3D67C15B544056FE6B2F58363540,2023-10-12 16:08:45,../photos/CG3780016_1697107255_p2.jpeg,0101000020E61000005B0B0E8AC15B5440FCCADEAD87363540,2023-10-12 16:10:42,100,Work complete and hand over to court,2023-10-12 16:10:52,scgdurg,True,Work complete and hand over to court,cgdurg,2023-10-12 00:00:00,cgdurg,2023-10-12 16:11:45.036891,81.4336794,21.2122831,81.4336877,21.2130078,4.76,4.74,,,,NaN,,NaN
CONSTRUCTION OF D TYPE QUARTER FOR JUDICIAL OFFICER OF THE CIVIL COURT AT KHAIRAGARH,IRRIGATION STAFF QUARTERS BUILDINGS AT CIVIL LINE,CG3880005,CG,388,KHAIRAGARH,CMP,True,0101000020E610000031A072A74F3E544064BC9CC8826C3540,scgrajnan,2023-10-10 14:25:20.832175,1366,100,,5,False,True,False,6293,,,2102,../photos/CG3880005_1591172878_p1.jpeg,0101000020E610000031A072A74F3E544064BC9CC8826C3540,2020-06-03 13:57:20,../photos/CG3880005_1591172878_p2.jpeg,0101000020E61000007278F7B64F3E5440170BE82A826C3540,2020-06-03 13:57:45,10,plinth level work in progress,2020-06-03 13:57:51,scgrajnan,True,Plinth level work in progress,cgrajnan,2020-09-17 00:00:00,cgrajnan,2020-09-17 12:40:48.415352,80.9736117,21.4238706,80.9736154,21.4238612,26.38,29.93,,,,NaN,,NaN
CONSTRUCTION OF D TYPE QUARTER FOR JUDICIAL OFFICER OF THE CIVIL COURT AT KHAIRAGARH,IRRIGATION STAFF QUARTERS BUILDINGS AT CIVIL LINE,CG3880005,CG,388,KHAIRAGARH,CMP,True,0101000020E610000031A072A74F3E544064BC9CC8826C3540,scgrajnan,2023-10-10 14:25:20.832175,1366,100,,5,False,True,False,6293,,,6291,../photos/CG3880005_1696928118_p1.jpeg,0101000020E610000056B3733F4C3E544066CC13BEAD6C3540,2023-10-10 14:20:40,../photos/CG3880005_1696928118_p2.jpeg,0101000020E610000056B3733F4C3E544066CC13BEAD6C3540,2023-10-10 14:20:50,100,Completed,2023-10-10 14:21:06,scgrajnan,False,,,,scgrajnan,2023-10-10 14:25:18.613286,80.9734038,21.4245261,80.9734038,21.4245261,24.9,24.9,,,,NaN,,NaN
10 Court Building at Rajgarh,,CBmpRAJ300,MP,422,,CMP,True,0101000020E6100000FA87E3AFFF2D5340E75086AA98023840,smprajgar,2021-06-11 11:18:02.939675,264,100,CBmpRAJ300,2,True,False,False,4456,,,4456,../photos/CBmpRAJ300_1623390482_p1.jpeg,0101000020E6100000A1FA624AFF2D5340C303143477023840,2021-06-11 11:17:14,../photos/CBmpRAJ300_1623390482_p2.jpeg,0101000020E6100000C501F4FBFE2D5340669BC019A1023840,2021-06-11 11:17:46,100,Complete,2021-06-11 11:17:58,smprajgar,True,Work Completed  Hand Over,mprajgar,2021-06-11 00:00:00,mprajgar,2021-06-11 12:03:44.842893,76.7187067,24.0096314,76.718688,24.0102707,12.41,8.0,,DPE PIU Rajgarh,,NaN,,NaN
"Constrcution of New District Court Building at Lunawada, Dist.Mahisagar",Lunawada,GJ6690001,GJ,669,,CMP,True,0101000020E61000002D0ABB287A6652406645798B2C203740,sgjmahisa,2021-06-10 14:06:09.388212,1500,100,,1,True,False,False,3347,,,3347,../photos/GJ6690001_1601372509_p1.jpeg,0101000020E61000002D0ABB287A6652406645798B2C203740,2020-09-29 15:10:23,../photos/GJ6690001_1601372509_p2.jpeg,0101000020E6100000B0613C3979665240B31314F538203740,2020-09-29 15:10:51,100,Work Completed,2020-09-29 15:11:35,sgjmahisa,True,Work Completed,gjmahisa,2020-09-29 00:00:00,gjmahisa,2020-09-29 15:23:48.784219,73.601206,23.1256797,73.6011489,23.1258691,4.77,4.78,,,,NaN,,NaN
PROVIDING AND INSTAL CCTV CAMERA IN THE LOCKUP ROOM OF DISTT AND SESSION COURT BUILD AT JAGDALPUR,NEAR ALL INDIA RADIO,CG3740002,CG,374,JAGDALPUR,CMP,True,0101000020E6100000B5EB94FD29815440833C71EFD0143340,scgbastar,2020-07-01 12:27:20.233438,1564,100,,2,False,False,True,2466,,,2466,../photos/CG3740002_1593586640_p1.jpeg,0101000020E6100000B5EB94FD29815440833C71EFD0143340,2020-07-01 12:26:28,../photos/CG3740002_1593586640_p2.jpeg,0101000020E6100000B5EB94FD29815440833C71EFD0143340,2020-07-01 12:26:49,100,Work Done,2020-07-01 12:27:18,scgbastar,True,Work Satisfactory,cgbastar,2020-09-17 00:00:00,cgbastar,2020-09-17 13:11:01.846297,82.0181879,19.0813131,82.0181879,19.0813131,24.73,24.73,,G S MANDAVI,,NaN,,NaN
"CONSTRUCTION OF BAR ASSOCIATION BUILDING AT ANEMAJALU OF BANNUR VILLAGE IN PUTTUR TALUK, DK DISTRICT",ANEMAJALU BANNUR PUTTUR,KA5340007,KA,534,,CMP,True,0101000020E61000001FCA61412BCD52405B47B0CCB68E2940,skadakshikan,2021-06-04 18:28:11.431167,2022,100,,7,False,False,True,4362,,,4346,../photos/KA5340007_1622800723_p1.jpeg,0101000020E61000007FE9A3422BCD5240B44AFAC5B68E2940,2021-06-04 15:28:22,../photos/KA5340007_1622800723_p2.jpeg,0101000020E61000007FE9A3422BCD5240B44AFAC5B68E2940,2021-06-04 15:28:35,20,Lintel work,2021-06-04 15:28:41,skadakshikan,True,COMPLETED,kadakshikan,2023-11-23 00:00:00,kadakshikan,2023-11-23 14:58:12.951369,75.2057654,12.7787382,75.2057654,12.7787382,20.0,20.0,,AMARNATH JAIN H P,,NaN,,NaN
"CONSTRUCTION OF BAR ASSOCIATION BUILDING AT ANEMAJALU OF BANNUR VILLAGE IN PUTTUR TALUK, DK DISTRICT",ANEMAJALU BANNUR PUTTUR,KA5340007,KA,534,,CMP,True,0101000020E61000001FCA61412BCD52405B47B0CCB68E2940,skadakshikan,2021-06-04 18:28:11.431167,2022,100,,7,False,False,True,4362,,,4345,../photos/KA5340007_1622800163_p1.jpeg,0101000020E610000085EE92382BCD5240A23B2DE4B68E2940,2021-06-04 15:18:35,../photos/KA5340007_1622800163_p2.jpeg,0101000020E610000085EE92382BCD5240A23B2DE4B68E2940,2021-06-04 15:19:07,40,First and second floor roof,2021-06-04 15:19:22,skadakshikan,True,COMPLETED,kadakshikan,2023-11-23 00:00:00,kadakshikan,2023-11-23 14:58:26.332496,75.205763,12.7787391,75.205763,12.7787391,20.0,20.0,,AMARNATH JAIN H P,,NaN,,NaN
"CONSTRUCTION OF BAR ASSOCIATION BUILDING AT ANEMAJALU OF BANNUR VILLAGE IN PUTTUR TALUK, DK DISTRICT",ANEMAJALU BANNUR PUTTUR,KA5340007,KA,534,,CMP,True,0101000020E61000001FCA61412BCD52405B47B0CCB68E2940,skadakshikan,2021-06-04 18:28:11.431167,2022,100,,7,False,False,True,4362,,,4358,../photos/KA5340007_1622811144_p1.jpeg,0101000020E6100000B4A041542BCD5240912C6002B78E2940,2021-06-04 18:21:53,../photos/KA5340007_1622811144_p2.jpeg,0101000020E6100000B4A041542BCD5240912C6002B78E2940,2021-06-04 18:22:18,10,Plinth beam,2021-06-04 18:22:23,skadakshikan,True,COMPLETED,kadakshikan,2023-11-23 00:00:00,kadakshikan,2023-11-23 14:59:39.874369,75.2057696,12.77874,75.2057696,12.77874,20.0,20.0,,AMARNATH JAIN H P,,NaN,,NaN
